,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead,dates
215,2020/1/21,ä¸_,CN,æµ·å__,460000,,,0,1,0,0,2020/1/21
216,2020/1/21,ä¸_,CN,___å¸,500000,,,5,0,0,0,2020/1/21
217,2020/1/21,ä¸_,CN,___å¸,500000,ä¸___,500101,2,0,0,0,2020/1/21
218,2020/1/21,ä¸_,CN,___å¸,500000,_¿å_,500115,1,0,0,0,2020/1/21
219,2020/1/21,ä¸_,CN,___å¸,500000,å·±±_,500237,2,0,0,0,2020/1/21
220,2020/1/21,ä¸_,CN,____,510000,,,2,5,0,0,2020/1/21
221,2020/1/21,ä¸_,CN,____,510000,___å¸,510100,1,3,0,0,2020/1/21
222,2020/1/21,ä¸_,CN,____,510000,ç»µé_å¸,510700,0,2,0,0,2020/1/21
223,2020/1/21,ä¸_,CN,____,510000,å¹¿å_å¸,511600,1,0,0,0,2020/1/21
224,2020/1/21,ä¸_,CN,è´µå__,520000,,,0,1,0,0,2020/1/21
225,2020/1/21,ä¸_,CN,è´µå__,520000,è´µé_å¸,520100,0,1,0,0,2020/1/21
226,2020/1/21,ä¸_,CN,äº___,530000,,,1,0,0,0,2020/1/21
227,2020/1/21,ä¸_,CN,å®_____²»_,640000,,,0,1,0,0,2020/1/21
228,2020/1/21,_¥æ_,JP,,,,,1,0,0,0,2020/1/21
229,2020/1/21,_©å_,KR,,,,,1,0,0,0,2020/1/21
230,2020/1/21,æ³°å_,TH,,,,,3,0,0,0,2020/1/21
231,2020/1/22,ä¸_,CN,,,,,571,393,25,17,2020/1/22
232,2020/1/22,ä¸_,CN,__º¬å¸,110000,,,14,0,0,0,2020/1/22
233,2020/1/22,ä¸_,CN,__º¬å¸,110000,æ­¦æ__¥äº¬,,2,0,0,0,2020/1/22
234,2020/1/22,ä¸_,CN,__º¬å¸,110000,è¥¿å__,110102,2,0,0,0,2020/1/22
235,2020/1/22,ä¸_,CN,__º¬å¸,110000,____,110105,1,0,0,0,2020/1/22
236,2020/1/22,ä¸_,CN,__º¬å¸,110000,ä¸°å__,110106,1,0,0,0,2020/1/22
237,2020/1/22,ä¸_,CN,__º¬å¸,110000,_³æ_å±±å_,110107,1,0,0,0,2020/1/22
238,2020/1/22,ä¸_,CN,__º¬å¸,110000,æµ·æ__,110108,2,0,0,0,2020/1/22
239,2020/1/22,ä¸_,CN,__º¬å¸,110000,____,110112,1,0,0,0,2020/1/22
